Winner,ret0,ret1,prob0,prob1
0,0.01,29.0,0.9175,0.0825
0,0.5,0.5494505494505495,0.6025,0.3975
0,0.4,1.02,0.615,0.385
0,6.6,0.0769230769230769,0.19,0.81
0,2.3,0.2325581395348837,0.3575,0.6425
1,3.5,0.1587301587301587,0.2275,0.7725
0,0.9523809523809524,0.8333333333333334,0.595,0.405
0,0.05,8.8,0.7325,0.2675
1,7.0,0.0714285714285714,0.165,0.835
1,0.95,0.4166666666666667,0.3375,0.6625
0,0.1818181818181818,3.0,0.6325,0.3675
1,1.15,0.3773584905660377,0.4475,0.5525
1,4.7,0.1176470588235294,0.355,0.645
0,0.78125,0.9009009009009008,0.43,0.57
1,1.9,0.2666666666666666,0.29,0.71
0,0.01,29.0,0.77,0.23
0,0.7936507936507936,0.05,0.77,0.23
0,0.98,0.4081632653061224,0.2625,0.7375
1,1.9,0.2666666666666666,0.325,0.675
1,0.7575757575757576,0.1,0.5725,0.4275
0,0.0625,7.6,0.58,0.42
1,0.7692307692307693,0.05,0.2525,0.7475
0,0.025,13.0,0.87,0.13
1,0.5,0.5494505494505495,0.2875,0.7125
0,0.425531914893617,0.9,0.64,0.36
0,0.5,0.5494505494505495,0.4225,0.5775
0,0.2666666666666666,1.9,0.74,0.26
1,0.5154639175257731,0.58,0.35,0.65
0,1.5,0.3174603174603174,0.285,0.715
1,0.28,0.6493506493506493,0.3525,0.6475
0,0.01,29.0,0.85,0.15
0,0.9090909090909092,0.9090909090909092,0.5025,0.4975
0,0.68,0.4878048780487805,0.485,0.515
0,0.1111111111111111,4.9,0.8325,0.1675
1,0.5208333333333334,0.58,0.505,0.495
1,0.1,5.4,0.865,0.135
1,0.925925925925926,0.8333333333333334,0.5025,0.4975
0,0.0588235294117647,7.9,0.78,0.22
0,0.2325581395348837,2.3,0.685,0.315
0,0.3636363636363636,1.2,0.6,0.4
1,1.15,0.3773584905660377,0.35,0.65
0,0.4878048780487805,0.68,0.7325,0.2675
0,0.6,0.5154639175257731,0.5675,0.4325
1,0.3174603174603174,1.5,0.7575,0.2425
1,0.3225806451612903,1.45,0.72,0.28
0,0.01,24.0,0.6525,0.3475
1,0.5208333333333334,0.46,0.6225,0.3775
1,1.4,0.3333333333333333,0.375,0.625
1,1.25,0.3571428571428571,0.295,0.705
1,0.2,0.6944444444444444,0.655,0.345
0,0.1136363636363636,4.8,0.75,0.25
1,0.3,0.6410256410256411,0.2725,0.7275
1,19.0,0.0142857142857142,0.1275,0.8725
0,0.1408450704225352,3.8,0.695,0.305
1,0.55,0.5319148936170213,0.4775,0.5225
0,0.5617977528089888,0.46,0.7175,0.2825
1,1.2,0.3636363636363636,0.3975,0.6025
1,0.58,0.5154639175257731,0.4375,0.5625
1,0.28,0.6493506493506493,0.555,0.445
0,0.6410256410256411,0.3,0.6725,0.3275
1,3.2,0.1724137931034483,0.28,0.72
1,2.65,0.2040816326530612,0.3525,0.6475
1,1.35,0.3389830508474576,0.3475,0.6525
